book,The Alchemist,Atomic Habits,Sapiens,Project Hail Mary,Educated,A Journey To The Center of the Earth,Artificial Intelligence: A Modern Approach ,Wings of Fire,Ancient India,ISC Computer Science with Java and Bluej,Twenty Thousand Leagues Under the Sea,Fundamentals of Database Management,Data Mining and Data Warehousing: Principles and Practical Techniques,Harry Potter and Philosopher's stone,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone, Romeo and Juliet,N.K. Aning,The Conjuring,Srimad Bhagavad Gita,The Collected Poems of William Wordsworth,Let us C,Data Structures and Algorithms in Python,Digital Logic
The Alchemist,1.000,0.356,0.436,0.396,0.353,0.451,0.205,0.318,0.249,0.131,0.343,0.175,0.143,0.000,0.496,0.521,0.339,0.178,0.234,0.250,0.334,0.179,0.223,0.222
Atomic Habits,0.356,1.000,0.485,0.385,0.605,0.171,0.313,0.253,0.359,0.242,0.098,0.382,0.432,0.000,0.167,0.143,0.114,0.139,0.212,0.129,0.214,0.278,0.377,0.393
Sapiens,0.436,0.485,1.000,0.391,0.546,0.322,0.355,0.318,0.469,0.160,0.257,0.293,0.251,0.000,0.277,0.271,0.319,0.163,0.272,0.250,0.279,0.310,0.290,0.352
Project Hail Mary,0.396,0.385,0.391,1.000,0.404,0.297,0.188,0.294,0.153,0.160,0.224,0.098,0.104,0.000,0.249,0.266,0.180,0.166,0.205,0.156,0.184,0.142,0.135,0.163
Educated,0.353,0.605,0.546,0.404,1.000,0.185,0.234,0.348,0.351,0.160,0.170,0.257,0.262,0.000,0.233,0.195,0.172,0.271,0.264,0.180,0.244,0.234,0.262,0.284
A Journey To The Center of the Earth,0.451,0.171,0.322,0.297,0.185,1.000,0.252,0.310,0.279,0.134,0.521,0.173,0.108,0.000,0.438,0.454,0.298,0.206,0.288,0.277,0.331,0.206,0.165,0.192
Artificial Intelligence: A Modern Approach ,0.205,0.313,0.355,0.188,0.234,0.252,1.000,0.244,0.395,0.302,0.189,0.403,0.372,0.000,0.212,0.197,0.129,0.053,0.194,0.208,0.269,0.313,0.392,0.475
Wings of Fire,0.318,0.253,0.318,0.294,0.348,0.310,0.244,1.000,0.367,0.195,0.262,0.283,0.238,0.000,0.257,0.234,0.152,0.175,0.223,0.322,0.371,0.327,0.231,0.258
Ancient India,0.249,0.359,0.469,0.153,0.351,0.279,0.395,0.367,1.000,0.239,0.203,0.383,0.360,0.000,0.268,0.234,0.201,0.070,0.257,0.303,0.320,0.325,0.367,0.389
ISC Computer Science with Java and Bluej,0.131,0.242,0.160,0.160,0.160,0.134,0.302,0.195,0.239,1.000,0.130,0.355,0.322,0.000,0.184,0.195,0.053,-0.015,0.113,0.180,0.212,0.309,0.449,0.350
Twenty Thousand Leagues Under the Sea,0.343,0.098,0.257,0.224,0.170,0.521,0.189,0.262,0.203,0.130,1.000,0.151,0.061,0.000,0.347,0.357,0.273,0.097,0.205,0.235,0.284,0.196,0.151,0.140
Fundamentals of Database Management,0.175,0.382,0.293,0.098,0.257,0.173,0.403,0.283,0.383,0.355,0.151,1.000,0.604,0.000,0.188,0.187,0.128,0.065,0.236,0.198,0.272,0.354,0.489,0.548
Data Mining and Data Warehousing: Principles and Practical Techniques,0.143,0.432,0.251,0.104,0.262,0.108,0.372,0.238,0.360,0.322,0.061,0.604,1.000,0.000,0.108,0.100,0.069,0.075,0.192,0.125,0.282,0.322,0.558,0.508
Harry Potter and Philosopher's stone,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Harry Potter and the Philosopher's Stone,0.496,0.167,0.277,0.249,0.233,0.438,0.212,0.257,0.268,0.184,0.347,0.188,0.108,0.000,1.000,0.926,0.326,0.178,0.220,0.251,0.299,0.182,0.227,0.160
Harry Potter and the Philosopher's Stone,0.521,0.143,0.271,0.266,0.195,0.454,0.197,0.234,0.234,0.195,0.357,0.187,0.100,0.000,0.926,1.000,0.349,0.142,0.209,0.251,0.305,0.194,0.225,0.159
 Romeo and Juliet,0.339,0.114,0.319,0.180,0.172,0.298,0.129,0.152,0.201,0.053,0.273,0.128,0.069,0.000,0.326,0.349,1.000,0.121,0.211,0.277,0.341,0.152,0.196,0.171
N.K. Aning,0.178,0.139,0.163,0.166,0.271,0.206,0.053,0.175,0.070,-0.015,0.097,0.065,0.075,0.000,0.178,0.142,0.121,1.000,0.511,0.139,0.103,0.104,-0.002,0.073
The Conjuring,0.234,0.212,0.272,0.205,0.264,0.288,0.194,0.223,0.257,0.113,0.205,0.236,0.192,0.000,0.220,0.209,0.211,0.511,1.000,0.128,0.203,0.154,0.134,0.183
Srimad Bhagavad Gita,0.250,0.129,0.250,0.156,0.180,0.277,0.208,0.322,0.303,0.180,0.235,0.198,0.125,0.000,0.251,0.251,0.277,0.139,0.128,1.000,0.263,0.190,0.146,0.145
The Collected Poems of William Wordsworth,0.334,0.214,0.279,0.184,0.244,0.331,0.269,0.371,0.320,0.212,0.284,0.272,0.282,0.000,0.299,0.305,0.341,0.103,0.203,0.263,1.000,0.241,0.366,0.307
