ds,yhat,yhat_lower,yhat_upper
2026-04-11,-24.453718452493177,-24.58215783258687,-24.331702655311144
2026-04-12,-20.000000430106113,-20.39662020740975,-19.596375233301586
2026-04-13,-1127.8742955161695,-1128.6689251994753,-1127.1334644035182
2026-04-14,34.827485613926115,33.606614237422534,35.89560039707194
2026-04-15,361.48863548446525,359.8290845986743,363.0225025762579
2026-04-16,-20.000008684327312,-22.170060665190768,-17.988965426427654
2026-04-17,4.0000012618891105,1.2272516465021774,6.350882945626723
2026-04-18,-48.45371950166873,-51.70753426987037,-45.60920938337497
2026-04-19,-44.00000147608722,-47.852661828550914,-40.680126752631956
2026-04-20,-1151.8742965645274,-1156.3957026542007,-1148.0010601076226
2026-04-21,10.827484566840042,5.587380197472179,15.406129407677096
2026-04-22,337.4886344359535,331.64679234333596,342.77362040094886
2026-04-23,-44.000009732122194,-50.44516992503938,-38.13212082020249
2026-04-24,-19.999999789443493,-27.18525034266597,-13.545746413335362
2026-04-25,-72.45372055084428,-80.29070791439673,-65.33117269560412
2026-04-26,-68.00000252587981,-76.43287294823433,-60.04037781051117
2026-04-27,-1175.8742976139326,-1185.4760819754101,-1167.1163575891276
2026-04-28,-13.172516483099315,-23.64316518167035,-3.6148959988568605
2026-04-29,313.4886333874417,302.47304646838256,323.798821866349
2026-04-30,-68.00001077965203,-80.1281080061028,-57.02899668040204
2026-05-01,-44.00000083776558,-56.951817326971934,-32.14556032672425
2026-05-02,-96.45372159890866,-110.22790176573068,-83.7402761023242
2026-05-03,-92.00000357541612,-106.43573425094306,-78.59757802891535
2026-05-04,-1199.8742986633379,-1215.3006480217514,-1185.5855516961562
2026-05-05,-37.17251753437762,-53.43574014344505,-22.017436828726982
2026-05-06,289.4886323389301,272.40523043315864,305.3841080562703
2026-05-07,-92.00001182948218,-109.97124769568734,-75.3248921474826
2026-05-08,-68.00000188783376,-86.90184055740296,-49.98746895941851
2026-05-09,-120.45372264919538,-140.28257010263587,-101.84803181957683
2026-05-10,-116.0000046249525,-136.77004711119676,-96.33472376385772
